company,specific_role,platform,status,is_tech
Insight Global,Project Coordinator,Job Board Listing,Ghosted,Non-Tech
Agilus,Help Desk Administrator,Website Application,Applied,Non-Tech
DanCar Industrial,Remote Records Clerk,Job Board Listing,Applied,Non-Tech
Sunstone Chartered,Office Administrator,Job Board Listing,Rejected (App),Non-Tech
Baan Thai Massage,Medical Office Administrator,Job Board Listing,Rejected (App),Non-Tech
Second Harvest ,National Volunteer Engagement Coordinator,Website Application,Rejected (App),Non-Tech
Dental Management Secrets,Administrative Assistant,Job Board Listing,Rejected (App),Non-Tech
Rossi Financial Inc.,Part Time Deal Analyst Assistant,Job Board Listing,Rejected (Interview),Non-Tech
Mount Royal University,Public Services Assistant,Website Application,Applied,Non-Tech
SA Consulting Services Inc,Bookkeeper,Job Board Listing,Applied,Non-Tech
Scholars Education Centre,Part Time English/Math Tutor,Job Board Listing,Applied,Non-Tech
Lencrest LLC,Administrative Assistant,Job Board Listing,Applied,Non-Tech
Petfinity,Part Time Receptionist,Job Board Listing,Applied,Non-Tech
UNIQLO,Store Associate,Website Application,Applied,Non-Tech
Cambridge Learning Services,Assistant Tutor Supervisor,Website Application,Rejected (App),Non-Tech
Dental Media Corp,Bookkeeper Part Time,Job Board Listing,Rejected (App),Non-Tech
Subway,Sandwhich Artist,Job Board Listing,Not Interested Anymore,Non-Tech
Wow chicken,Server,Job Board Listing,Applied,Non-Tech
DEELZ Tools and Such,Retail Sales Associate,Job Board Listing,Ghosted,Non-Tech
Safeway,Clerk Sales/Service,Website Application,Applied,Non-Tech
Slockker Canada West,Construction Project Coordinator,Job Board Listing,Rejected (App),Non-Tech
Prepared Project Manager,Part-Time Learnworlds LMS Designer,Job Board Listing,Rejected (App),Non-Tech
Unifloor Trading,Full Time Order Desk Administrator,Website Application,Ghosted,Non-Tech
Helic & Co.,Junior Operations Specialist,Website Application,Applied,Non-Tech
Trail Appliances Ltd.,Warehouse Office Assistant (Calgary Distribution Centre) Temporary,Job Board Listing,Rejected (App),Non-Tech
Calgary Co Op,Front End Service Clerk (West Springs),Website Application,Rejected (App),Non-Tech
Cogir Senior Living,Casual Part Time Server,Website Application,Applied,Non-Tech
True North Mortgage,Part Time Office Receptionist,Job Board Listing,Rejected (Interview),Non-Tech
