COMPANY,SPECIFIC ROLE,VIA WHAT,STATUS,TYPE
Insight Global,Project Coordinator,Company Website/Platform,Ghosted,Non-Tech
Agilus,Help Desk Administrator,Company Website/Platform,Applied,Non-Tech
DanCar Industrial,Remote Records Clerk,LinkedIn,Applied,Non-Tech
Sunstone Chartered,Office Administrator,Indeed,Rejected (App),Non-Tech
Baan Thai Massage,Medical Office Administrator,Indeed,Rejected (App),Non-Tech
Second Harvest ,National Volunteer Engagement Coordinator,Company Website/Platform,Rejected (App),Non-Tech
Dental Management Secrets,Administrative Assistant,Indeed,Rejected (App),Non-Tech
Rossi Financial Inc.,Part Time Deal Analyst Assistant,Other Job Board,Rejected (Interview),Non-Tech
Mount Royal University,Public Services Assistant,Company Website/Platform,Applied,Non-Tech
SA Consulting Services Inc,Bookkeeper,Glassdoor,Applied,Non-Tech
Scholars Education Centre,Part Time English/Math Tutor,Other Job Board,Applied,Non-Tech
Lencrest LLC,Administrative Assistant,Other Job Board,Applied,Non-Tech
Petfinity,Part Time Receptionist,Other Job Board,Applied,Non-Tech
UNIQLO,Store Associate,Company Website/Platform,Applied,Non-Tech
Cambridge Learning Services,Assistant Tutor Supervisor,Company Website/Platform,Rejected (App),Non-Tech
Dental Media Corp,Bookkeeper Part Time,Indeed,Rejected (App),Non-Tech
Subway,Sandwhich Artist,Glassdoor,Not Interested (Interview Offer),Non-Tech
Wow chicken,Server,Glassdoor,Applied,Non-Tech
DEELZ Tools and Such,Retail Sales Associate,Indeed,Ghosted,Non-Tech
Safeway,Clerk Sales/Service,Company Website/Platform,Applied,Non-Tech
Slockker Canada West,Construction Project Coordinator,Indeed,Rejected (App),Non-Tech
Prepared Project Manager,Part-Time Learnworlds LMS Designer,LinkedIn,Rejected (App),Non-Tech
Unifloor Trading,Full Time Order Desk Administrator,Company Website/Platform,Ghosted,Non-Tech
Helic & Co.,Junior Operations Specialist,Company Website/Platform,Applied,Non-Tech
Trail Appliances Ltd.,Warehouse Office Assistant (Calgary Distribution Centre) Temporary,Glassdoor,Rejected (App),Non-Tech
Calgary Co Op,Front End Service Clerk (West Springs),Company Website/Platform,Rejected (App),Non-Tech
Cogir Senior Living,Casual Part Time Server,Company Website/Platform,Applied,Non-Tech
True North Mortgage,Part Time Office Receptionist,Glassdoor,Rejected (Interview),Non-Tech
Finney-Taylor Consulting Group,Help Desk Support - Client Interface,Company Website/Platform,Applied,Non-Tech
Downtown Drugmart,Retail Sales Assistant,Indeed,Applied,Non-Tech
Golden Hour Education Centre,Private Tutor,Company Website/Platform,Applied,Non-Tech
Hays,Document Control Analyst,LinkedIn,Applied,Non-Tech
Save On Foods,Cashier,Company Website/Platform,Rejected (App),Non-Tech
Pearson Vue,Part Time Test Administrator,Company Website/Platform,Applied,Non-Tech
Rising Edge Group,Document Controller,Company Website/Platform,Rejected (App),Non-Tech
Mr Handyman,Customer Service Representative,Company Website/Platform,Applied,Non-Tech
Mortgagestogo.ca,Client Service Representative,Indeed,Applied,Non-Tech
NCR Atleos,"Account Support Analyst - Calgary, AB",Company Website/Platform,Rejected (App),Non-Tech
Holt Renfrew,Seasonal Associate,Company Website/Platform,Rejected (App),Non-Tech
Mikata Health,Sales Executive Assistant,Company Website/Platform,Rejected (App),Non-Tech
Concentrix,Technical Support Admin,Company Website/Platform,Rejected (App),Non-Tech
Stride,Call Center Operator,Company Website/Platform,Not Interested (Interview Offer),Non-Tech
Bow Valley College,Project Assistant - Sales & Workforce Solutions (casual),Company Website/Platform,Applied,Non-Tech
Enverus,Customer Application Support Analyst,Company Website/Platform,Not Interested (App),Non-Tech
RnR Hot Tubs and Spa,Retail Operations Administrator,Cold Email,Ghosted,Non-Tech
Critical Mass,Administrative Assistant,Company Website/Platform,Rejected (App),Non-Tech
Rectangle,-,Cold Email,Applied,Non-Tech
Noterro,-,Cold Email,Applied,Non-Tech
Boardwalk,HR Assistant,Company Website/Platform,Applied,Non-Tech
Rogers,Project Coordinator,Company Website/Platform,Rejected (App),Non-Tech
CoolIT Systems,Administrative Assistant,Company Website/Platform,Rejected (App),Non-Tech
Headquarters Inc.,Data Entry Clerk,Company Website/Platform,Ghosted,Non-Tech
Centre for Newcomers Society Calgary,Language Program Assistant,Indeed,Rejected (App),Non-Tech
Emco Corporation,Strategic Development Program Trainee,Company Website/Platform,Rejected (App),Non-Tech
SAIT,Administrative Assistant I,Company Website/Platform,Applied,Non-Tech
Real Canadian Superstore,Salad Bar Clerk Part Time Day,Company Website/Platform,Rejected (App),Non-Tech
Oxford Properties Group,Seasonal Guest Experience Representative,Company Website/Platform,Rejected (App),Non-Tech
TD,Customer Experience Associate,Company Website/Platform,Applied,Non-Tech
Calgary French & International School ,Digital Marketing Associate,Company Website/Platform,Applied,Non-Tech
Neon One,Marketing Operations Specialist,Company Website/Platform,Rejected (App),Non-Tech
Wood's Homes,Communications Coordinator,Company Website/Platform,Applied,Non-Tech
Bluevale Capital,Project Coordinator - Real Estate,Company Website/Platform,Applied,Non-Tech
Paul Lavoie Interior Design,Purchasing & Administrative Assistant,Cold Email,Applied,Non-Tech
StoneTree Law,Office Administrator/Receptionist,Cold Email,Applied,Non-Tech
Silver Springs Community Center,Office Coordinator,Cold Email,Applied,Non-Tech
BrokerLink - RiskCan,Underwriting Assistant,Company Website/Platform,Applied,Non-Tech
ARCH Mechanical Plumbing & Heating,administrative clerk,Cold Email,Applied,Non-Tech
Best Access Doors,Ecommerce Specialist,Cold Email,Applied,Non-Tech
Rokt,Operations and Support Specialist,Company Website/Platform,Rejected (App),Non-Tech
IMS Innovative Manufacturing Source Inc.,Receiving Clerk,Indeed,Not Interested (Interview Offer),Non-Tech
SunMETA,Curriculum Administration Assistant,Indeed,Rejected (Interview),Non-Tech
Procom,Project Clerk/Business Analyst,Glassdoor,Applied,Non-Tech
Greenfox Windows and Doors,Order Desk Clerk,Glassdoor,Not Interested (App),Non-Tech
Mount Royal University,Records Evaluator,Company Website/Platform,Applied,Non-Tech
First Aid Training Calgary,Training Administrator and Instructor Trainee,Cold Email,Applied,Non-Tech
MaKami College,Online Programs - Learning Assistant,Company Website/Platform,Applied,Non-Tech
Evans,Project Coordinator,Company Website/Platform,Applied,Non-Tech
Litco Law,Records and Information Analyst,Company Website/Platform,Rejected (App),Non-Tech
Enbridge ,Administrative Assistant,Indeed,Rejected (App),Non-Tech
Sundine Produce,Administrative Assistant,Cold Email,Applied,Non-Tech
Shoppers Drug Mart,Post Office Clerk,Company Website/Platform,Rejected (App),Non-Tech
NuHome,Personal Assistant,Indeed,Rejected (App),Non-Tech
McKenzie Lake Residents Association,Office Administrator,Cold Email,Applied,Non-Tech
Encompass Sports Therapy - Cranston,Part Time Administrative Assistant,Cold Email,Applied,Non-Tech
Sameer Somani Professional Corporation,admin work and some bookkeeping,Cold Email,Applied,Non-Tech
Wesco,Warehouse Administrator,Company Website/Platform,Rejected (App),Non-Tech
Deloitte,Learning Coordinator,Company Website/Platform,Rejected (App),Non-Tech
MNP,"Coordinator, Learning and Development",Company Website/Platform,Applied,Non-Tech
Calgary TELUS Convention Centre,Client Services Coordinator - Event Execution,Company Website/Platform,Applied,Non-Tech
Spackman Dental,Office Administrator,Company Website/Platform,Applied,Non-Tech
iS2 ,Health & Safety Administrator,Cold Email,Applied,Non-Tech
Canaccord Genuity,Administrative Assistant,Company Website/Platform,Applied,Non-Tech
Lululemon,Educator,Company Website/Platform,Rejected (App),Non-Tech
Manpower Group North America,Receptionist,Glassdoor,Applied,Non-Tech
CoolIT Systems,Logistics Assistant,Company Website/Platform,Rejected (App),Non-Tech
Randstad,Business Centre Clerk,Company Website/Platform,Applied,Non-Tech
Altis Recruitment,Facilities Coordinator,Company Website/Platform,Applied,Non-Tech
FCT,Document Processing Rep,Company Website/Platform,Not Interested (Interview Offer),Non-Tech
Calgary Catholic School District,Independent Studies Assistant,Company Website/Platform,Applied,Non-Tech
Days Inn Calgary,Front Desk Agent,Cold Email,Applied,Non-Tech
Tinbox Energy Software,Business Coordinator,Cold Email,Applied,Non-Tech
Accenture,Office Operations and Hospitality Coordinator,Company Website/Platform,Applied,Non-Tech
VCA Animal Hospitals,"Veterinary Reception, Client Care",Company Website/Platform,Applied,Non-Tech
JD Sports Canada,Back of House Ecommerce Associate,Company Website/Platform,Applied,Non-Tech
Karen King and Associates ,Receptionist / Front Desk Administrator,Cold Email,OFFER!!!!,Non-Tech
Affirm,Administrative Assistant IV,Company Website/Platform,Rejected (App),Non-Tech
Higher Talent Recruitment,Front Desk Specialist & Administrative Assistant,Cold Email,Applied,Non-Tech
Perry Thompson Photography,Assistant Production Manager,Cold Email,OFFER!!!!,Non-Tech
Terrace Gardens on Sixth,Residential Administrative Assistant,Cold Email,Rejected (App),Non-Tech
Prep Academy Tutors,Administrative Assistant - Calgary,Cold Email,Applied,Non-Tech
EY ,2025 and 2026 Assurance - Technology Risk - Canada - Full-Time Staff,Company Website/Platform,Applied,Tech
Fiscal AI,Jr/Intermediate Full Stack & QA Engineer,Company Website/Platform,Rejected (App),Tech
WanderLog,Full-Stack Software Engineer,Company Website/Platform,Applied,Tech
Grafana Labs,Staff Backend Engineer - Pyroscope | Canada | Remote,Other Job Board,Rejected (App),Tech
JYZ Design,Website Project Manager,LinkedIn,Rejected (App),Tech
Fuel Labs,Talent Network,Other Job Board,Applied,Tech
Neo Finanial,Junior Software Developer,LinkedIn,Applied,Tech
MNP,Junior Developer,LinkedIn,Not Interested (App),Tech
FDM,Software Engineering Practice,Company Website/Platform,Not Interested (App),Tech
Outlier,Graphics & Visual Design for AI Training,Company Website/Platform,Not Interested (App),Tech
Helic & Co.,Data Analyst,LinkedIn,Applied,Tech
micro1,Full-stack Engineer,LinkedIn,Rejected (App),Tech
Tuba H. post,IT Roles,LinkedIn,Applied,Tech
Helic & Co.,Software Engineer,LinkedIn,Ghosted,Tech
Founding Teams,Junior Machine Learning Engineer - AI startup,LinkedIn,Ghosted,Tech
Suraj Post,Freelance Dev/Software Eng,LinkedIn,Applied,Tech
Erode Ai,Machine Learning Research Engr,Indeed,Rejected (App),Tech
Actalent,Full Stack Software Developer,LinkedIn,Applied,Tech
Meta,Data Labeling Analyst II (Contract),Company Website/Platform,Rejected (App),Tech
visorPro,Python Dev,LinkedIn,Ghosted,Tech
Luminara Creative,Junior Web Designer,LinkedIn,Rejected (Interview),Tech
Parvathi,IT Roles,LinkedIn,Applied,Tech
Victoria ,Data Scientist,LinkedIn,Applied,Tech
Autodesk,Software Developer,Company Website/Platform,Rejected (App),Tech
VantEDGE,Intermediate Software Developer,LinkedIn,Ghosted,Tech
SI Systems Inc,Jr. Service Desk Analyst,Company Website/Platform,Rejected (App),Tech
Micro Engineering Tech Inc,Full Time Information System Analyst,Company Website/Platform,Ghosted,Tech
C0wsec Information Security Association,Entry-Level Customer Support Specialist,Company Website/Platform,Ghosted,Tech
Job Bank by Government of Canada,Web Designer,Job Bank,Applied,Tech
CloudBerry,Jr Software Engineer ,LinkedIn,Rejected (App),Tech
Job Bank by Government of Canada,Web Developer,Job Bank,Applied,Tech
Tech Consulting,Jr Data Science,LinkedIn,Ghosted,Tech
Mindrift,AI Agent Evaluation Analyst,Company Website/Platform,Applied,Tech
MRO,Software Engineer - Aerospace Engineer,Company Website/Platform,Applied,Tech
w3global,Data Scientist/AI Engineer,Company Website/Platform,Applied,Tech
WillHire,Data Science Intern,Company Website/Platform,Applied,Tech
TraceRent,Data Analyst,Company Website/Platform,Applied,Tech
ROGII,Technical Analyst,Company Website/Platform,Rejected (App),Tech
ATB Financial,Junior Data Developer,Company Website/Platform,Rejected (App),Tech
Backlinkgen,General Role,Company Website/Platform,Applied,Tech
Westjet,Intermediate Analyst - Schedule Planning,Company Website/Platform,Rejected (App),Tech
Davinci AI Solutions,General Role,Cold Email,Applied,Tech
Clio,General Role,Cold Email,Applied,Tech
Action Dev,Data Analyst,Indeed,Applied,Tech
Trimac Transportation,"Analyst, Data Analytics",Company Website/Platform,Applied,Tech
Finney Taylor Consulting Group,Business Intelligence Analyst,Cold Email,Applied,Tech
University of Calgary,"Junior Web Specialist, Office of the Registrar",Company Website/Platform,Applied,Tech
Canada Infrastructure Bank.,"Analyst, Total Rewards and HRIS",Company Website/Platform,Applied,Tech
Davinci AI Solutions,IT Project Implementor,Cold Email,Applied,Tech
